City,Name,Type,Google review rating
Delhi,India Gate,War Memorial,4.6
Delhi,Humayun's Tomb,Tomb,4.5
Delhi,Akshardham Temple,Temple,4.6
Delhi,Waste to Wonder Park,Theme Park,4.1
Delhi,Jantar Mantar,Observatory,4.2
Delhi,Chandni Chowk,Market,4.2
Delhi,Lotus Temple,Temple,4.5
Delhi,Red Fort,Fort,4.5
Delhi,Agrasen ki Baoli,Stepwell,4.2
Delhi,Sunder Nursery,Park,4.6
Delhi,Garden of Five Senses,Park,4.1
Delhi,Lodhi Garden,Park,4.5
Delhi,National Gallery of Modern Art,Museum,4.5
Delhi,National Zoological Park ,Zoo,4.1
Delhi,Qutub Minar,Monument,4.5
Delhi,National Science Centre,Science,4.4
Mumbai,Marine Drive,Promenade,4.5
Mumbai,Gateway of India,Monument,4.6
Mumbai,Chhatrapati Shivaji Maharaj Vastu Sangrahalaya,Museum,4.6
Mumbai,Sanjay Gandhi National Park,National Park,4.3
Mumbai,Siddhivinayak Temple,Temple,4.8
Mumbai,Mahalaxmi Temple,Temple,4.7
Mumbai,Haji Ali Dargah,Religious Shrine,4.4
Mumbai,Chowpatty Beach,Beach,4.3
Mumbai,Essel World,Amusement Park,4.3
Mumbai,Elephanta Caves,Monument,4.3
Hyderabad,Charminar,Landmark,4.5
Hyderabad,Golconda Fort,Fort,4.4
Hyderabad,Hussain Sagar Lake,Lake,4.3
Hyderabad,Ramoji Film City,Film Studio,4.4
Hyderabad,Salar Jung Museum,Museum,4.4
Hyderabad,Qutb Shahi Tombs,Tombs,4.4
Hyderabad,Birla Mandir,Temple,4.7
Hyderabad,Chowmahalla Palace,Palace,4.4
Hyderabad,Nehru Zoological Park,Zoo,4.2
Hyderabad,Lumbini Park,Park,4.1
Kolkata,Victoria Memorial,Museum,4.6
Kolkata,Howrah Bridge,Bridge,4.6
Kolkata,Indian Museum,Museum,4.6
Kolkata,Dakshineswar Kali Temple,Temple,4.7
Kolkata,Kalighat Kali Temple,Temple,4.4
Kolkata,Eden Gardens,Cricket Ground,4.1
Kolkata,Alipore Zoological Gardens,Zoo,4.3
Kolkata,Science City Kolkata,Science,4.4
Kolkata,Belur Math,Site,4.7
Kolkata,Marble Palace,Palace,4.4
Hyderabad,Inorbit Mall Cyberabad,Mall,4.5
